player_id,player_name,citizenship,position,main_position
484990,Sofiane Augarreau (484990),France  Algeria,Midfield - Central Midfield,Midfield
485083,Kalifa Manneh (485083),The Gambia,Attack - Left Winger,Attack
4853,Gürkan Sermeter (4853),Switzerland  Türkiye,Midfield - Right Midfield,Midfield
4854,Johan Berisha (4854),Switzerland  Kosovo,Attack - Centre-Forward,Attack
485424,Moussa Djenepo (485424),Mali,Attack - Left Winger,Attack
4855,Eseosa Patrick (4855),Nigeria,Midfield - Central Midfield,Midfield
485529,Hassan Ndam (485529),Cameroon,Defender - Centre-Back,Defender
485545,As Ibrahima Diakité (485545),France  Guinea,Attack - Centre-Forward,Attack
485555,Silman El Baset (485555),Finland  Syria,Defender - Centre-Back,Defender
485591,Mohamed Taabouni (485591),Netherlands  Morocco,Attack - Left Winger,Attack
485706,Amadou Onana (485706),Belgium  Senegal,Midfield - Defensive Midfield,Midfield
485804,Samuel Nezha (485804),Albania,Attack - Centre-Forward,Attack
485811,Valeriy Likhobabenko (485811),Russia  Kazakhstan,Defender - Centre-Back,Defender
485963,Pape Gueye (485963),Senegal  France,Midfield - Defensive Midfield,Midfield
485994,David Ajiboye (485994),England  Nigeria,Attack - Right Winger,Attack
485959,Benrandy Abdallah (485959),France  Comoros,Defender - Right-Back,Defender
486039,Anouar Ait El Hadj (486039),Belgium  Morocco,Midfield - Attacking Midfield,Midfield
486054,Simion Michez (486054),Cameroon  Belgium,Midfield - Right Midfield,Midfield
486205,Albi Doka (486205),Albania,Defender - Right-Back,Defender
486624,Musa Barrow (486624),The Gambia,Attack - Left Winger,Attack
486767,Hélder Baldé (486767),Portugal  Guinea-Bissau,Defender - Centre-Back,Defender
48701,Marcel Gomis (48701),Senegal  Portugal,Attack - Centre-Forward,Attack
487180,Nabil Touaizi (487180),Morocco  Spain,Defender - Right-Back,Defender
487333,Paolo Gozzi (487333),Italy  Nigeria,Defender - Centre-Back,Defender
487850,Oladapo Afolayan (487850),England  Nigeria,Attack - Right Winger,Attack
488196,Mehmet Günes (488196),Türkiye  France,Attack - Centre-Forward,Attack
488768,Ilias Takidine (488768),Belgium  Morocco,Attack - Left Winger,Attack
489363,Tarik Gözüsirin (489363),Germany  Türkiye,Midfield - Central Midfield,Midfield
